ts,city,event_date,ticker,action,price_c,fill_vwap_c,filled_qty,qty,fee_c,p_model,ev_c,pnl_taker_c,pnl_maker_c,clv_c,phase_label,note
2026-08-03T15:37:01+00:00,den,2026-08-03,KXHIGHDEN-26AUG03-B101.5,OPEN,44,44.0,100,100,2,61.3,15.3,,,,training,d0
2026-08-03T15:37:01+00:00,lax,2026-08-03,KXHIGHLAX-26AUG03-B76.5,SELL,34,34.0,100,100,2,26.2,,600,1000,,training,edge_gone
2026-08-03T15:37:01+00:00,sea,2026-08-03,KXHIGHTSEA-26AUG03-B75.5,OPEN,25,26.27,100,100,2,66.8,39.8,,,,training,d0
2026-08-03T15:37:01+00:00,den,2026-08-02,KXHIGHDEN-26AUG02-T103,SETTLE,0,10,100,100,0,17.5,,,,-9.5,training,hold_would_be -1100
2026-08-03T15:37:01+00:00,lax,2026-08-02,KXHIGHLAX-26AUG02-B78.5,SETTLE,100,26,100,100,0,35.8,,,,73.5,training,hold_would_be 7200
2026-08-03T15:37:01+00:00,aus,2026-08-02,KXHIGHAUS-26AUG02-B101.5,SETTLE,0,24,100,100,0,32.0,,-2600,-2400,-23.5,training,held
2026-08-03T15:37:01+00:00,dal,2026-08-02,KXHIGHTDAL-26AUG02-B95.5,SETTLE,100,42,100,100,0,65.3,,,,57.5,training,hold_would_be 5600
2026-08-03T15:37:01+00:00,nola,2026-08-02,KXHIGHTNOLA-26AUG02-T91,SETTLE,100,68,100,100,0,98.0,,,,31.5,training,hold_would_be 3000
2026-08-03T15:37:01+00:00,okc,2026-08-02,KXHIGHTOKC-26AUG02-B95.5,SETTLE,0,44,100,100,0,62.8,,,,-43.5,training,hold_would_be -4600
2026-08-04T03:40:44+00:00,den,2026-08-04,KXHIGHDEN-26AUG04-T75,OPEN,19,19.0,100,100,2,51.2,30.2,,,,training,d1
